file,jsx_strings,attr_strings,total_hardcoded,t_calls
lib/jadeDropGuards.js,2,0,2,0
pages/AnalyticsHub.jsx,2,0,2,0
pages/BotMiniApp.jsx,2,0,2,0
pages/Economy.jsx,2,0,2,0
pages/JackieAI.jsx,2,0,2,0
pages/SellerDashboard.jsx,2,0,2,0
pages/SquadPerformance.jsx,2,0,2,0
pages/TelegramBotManagement.jsx,2,0,2,0
pages/Trade.jsx,2,0,2,21
components/MFAVerification.jsx,1,0,1,0
components/RoleGate.jsx,1,0,1,0
components/ailab/AgentTaskList.jsx,1,0,1,0
components/ailab/SpeechToTextInput.jsx,1,0,1,0
components/ailab/SquadWizardProgress.jsx,1,0,1,0
components/bazar/BazarProductCard.jsx,1,0,1,0
components/bazar/BazarStandDock.jsx,1,0,1,0
components/bot-farm/BotFarmEngine.jsx,1,0,1,0
components/bot-farm/BotFarmSeedFactory.jsx,1,0,1,0
components/dashboard/AIInsightsWidget.jsx,1,0,1,0
components/dashboard/NewsFeedWidget.jsx,1,0,1,0
components/jackie/AIEditBar.jsx,0,1,1,0
components/jackie/CodePreviewPanel.jsx,1,0,1,0
components/jackie/RealtimeSuggestionPanel.jsx,1,0,1,0
components/storefront/ConditionBadge.jsx,1,0,1,0
components/storefront/CurrencyConverter.jsx,1,0,1,0
components/telegram/TelegramBotDetail.jsx,0,1,1,0
components/telegram/ToolModulePicker.jsx,1,0,1,0
components/ui/dialog.jsx,1,0,1,0
components/ui/sheet.jsx,1,0,1,0
functions/notifyCriticalBotFarmRisk.js,0,1,1,0
functions/telegramWebhook.js,1,0,1,0
lib/eruRedteam.js,1,0,1,0
pages/EruSwarmTest.jsx,1,0,1,0
components/LanguageSwitcher.jsx,0,0,0,1
pages/Dashboard.jsx,0,0,0,5
pages/Markets.jsx,0,0,0,8
pages/Messages.jsx,0,0,0,10
pages/Portfolio.jsx,0,0,0,32
